"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17886,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0,0.5,0,0.5
0.18064,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0045,0.5,0.0045,0.5
0.18242,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.009,0.5,0.009,0.5
0.1842,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0135,0.5,0.0135,0.5
0.18597,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.018,0.5,0.018,0.5
0.18775,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0225,0.5,0.0225,0.5
0.18953,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.027,0.5,0.027,0.5
0.19131,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0315,0.5,0.0315,0.5
0.19309,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.036,0.5,0.036,0.5
0.19486,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0405,0.5,0.0405,0.5
0.19664,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.045,0.5,0.045,0.5
0.19842,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0495,0.5,0.0495,0.5
0.2002,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.054,0.5,0.054,0.5
0.20197,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0585,0.5,0.0585,0.5
0.20375,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.063,0.5,0.063,0.5
0.20553,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0675,0.5,0.0675,0.5
0.20731,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.072,0.5,0.072,0.5
0.20909,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0765,0.5,0.0765,0.5
0.21086,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.081,0.5,0.081,0.5
0.21264,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0855,0.5,0.0855,0.5
0.21442,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.09,0.5,0.09,0.5
0.2162,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0945,0.5,0.0945,0.5
0.21798,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.099,0.5,0.099,0.5
0.21975,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1035,0.5,0.1035,0.5
0.22153,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.108,0.5,0.108,0.5
0.22331,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1125,0.5,0.1125,0.5
0.22509,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.117,0.5,0.117,0.5
0.22686,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1215,0.5,0.1215,0.5
0.22864,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.126,0.5,0.126,0.5
0.23042,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1305,0.5,0.1305,0.5
0.2322,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.135,0.5,0.135,0.5
0.23398,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1395,0.5,0.1395,0.5
0.23575,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.144,0.5,0.144,0.5
0.23753,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1485,0.5,0.1485,0.5
0.23931,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.153,0.5,0.153,0.5
0.24109,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1575,0.5,0.1575,0.5
0.24287,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.162,0.5,0.162,0.5
0.24464,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1665,0.5,0.1665,0.5
0.24642,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.171,0.5,0.171,0.5
0.2482,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1755,0.5,0.1755,0.5
0.24998,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.18,0.5,0.18,0.5
0.25175,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1845,0.5,0.1845,0.5
0.25353,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.189,0.5,0.189,0.5
0.25531,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1935,0.5,0.1935,0.5
0.25709,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.198,0.5,0.198,0.5
0.25887,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2025,0.5,0.2025,0.5
0.26064,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.207,0.5,0.207,0.5
0.26242,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2115,0.5,0.2115,0.5
0.2642,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.216,0.5,0.216,0.5
0.26598,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2205,0.5,0.2205,0.5
0.26775,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.225,0.5,0.225,0.5
0.26953,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2295,0.5,0.2295,0.5
0.27131,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.234,0.5,0.234,0.5
0.27309,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2385,0.5,0.2385,0.5
0.27487,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.243,0.5,0.243,0.5
0.27664,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2475,0.5,0.2475,0.5
0.27842,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.252,0.5,0.252,0.5
0.2802,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2565,0.5,0.2565,0.5
0.28198,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.261,0.5,0.261,0.5
0.28376,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2655,0.5,0.2655,0.5
0.28553,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.27,0.5,0.27,0.5
0.28731,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2745,0.5,0.2745,0.5
0.28909,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.279,0.5,0.279,0.5
0.29087,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2835,0.5,0.2835,0.5
0.29264,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.288,0.5,0.288,0.5
0.29442,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.2925,0.5,0.2925,0.5
0.2962,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.297,0.5,0.297,0.5
0.2976,0.04,55.528,1,1,3.9218e-05,4.1758e-05,0,1,0.3015,0.5,0.3015,0.5
0.29826,0.04,55.528,1,1,3.9218e-05,4.1758e-05,0,1,0.306,0.5,0.306,0.5
0.29892,0.04,55.528,1,1,3.9218e-05,4.1758e-05,0,1,0.3105,0.5,0.3105,0.5
0.29957,0.04,55.528,1,1,3.9218e-05,4.1758e-05,0,1,0.315,0.5,0.315,0.5
0.30023,0.04,55.528,1,1,3.9218e-05,4.1758e-05,0,1,0.3195,0.5,0.3195,0.5
