"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.2563,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0,0.5,0,0.5
0.25717,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0045,0.5,0.0045,0.5
0.25804,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.009,0.5,0.009,0.5
0.25891,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0135,0.5,0.0135,0.5
0.25977,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.018,0.5,0.018,0.5
0.26064,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0225,0.5,0.0225,0.5
0.26151,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.027,0.5,0.027,0.5
0.26238,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0315,0.5,0.0315,0.5
0.26325,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.036,0.5,0.036,0.5
0.26412,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0405,0.5,0.0405,0.5
0.26499,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.045,0.5,0.045,0.5
0.26585,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0495,0.5,0.0495,0.5
0.26672,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.054,0.5,0.054,0.5
0.26759,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0585,0.5,0.0585,0.5
0.26846,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.063,0.5,0.063,0.5
0.26933,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0675,0.5,0.0675,0.5
0.2702,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.072,0.5,0.072,0.5
0.27107,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0765,0.5,0.0765,0.5
0.27194,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.081,0.5,0.081,0.5
0.2728,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0855,0.5,0.0855,0.5
0.27367,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.09,0.5,0.09,0.5
0.27454,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.0945,0.5,0.0945,0.5
0.27541,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.099,0.5,0.099,0.5
0.27628,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.1035,0.5,0.1035,0.5
0.27715,0.04,55.528,1,1,-8.2472e-05,4.6543e-05,0,1,0.108,0.5,0.108,0.5
