"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0076488,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0,0.5,0,0.5
0.0088184,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0045,0.5,0.0045,0.5
0.0099879,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.009,0.5,0.009,0.5
0.011157,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0135,0.5,0.0135,0.5
0.012327,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.018,0.5,0.018,0.5
0.013496,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0225,0.5,0.0225,0.5
0.014666,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.027,0.5,0.027,0.5
0.015835,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0315,0.5,0.0315,0.5
0.017005,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.036,0.5,0.036,0.5
0.018175,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0405,0.5,0.0405,0.5
0.019344,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.045,0.5,0.045,0.5
0.020514,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0495,0.5,0.0495,0.5
0.021683,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.054,0.5,0.054,0.5
0.022853,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0585,0.5,0.0585,0.5
0.024022,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.063,0.5,0.063,0.5
0.025192,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0675,0.5,0.0675,0.5
0.026361,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.072,0.5,0.072,0.5
0.027531,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0765,0.5,0.0765,0.5
0.0287,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.081,0.5,0.081,0.5
