"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.38282,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0,0.5,0,0.5
0.38296,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0045,0.5,0.0045,0.5
0.3831,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.009,0.5,0.009,0.5
0.38325,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0135,0.5,0.0135,0.5
0.38339,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.018,0.5,0.018,0.5
0.38353,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0225,0.5,0.0225,0.5
0.38367,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.027,0.5,0.027,0.5
0.38382,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0315,0.5,0.0315,0.5
0.38396,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.036,0.5,0.036,0.5
0.3841,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0405,0.5,0.0405,0.5
0.38425,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.045,0.5,0.045,0.5
0.38439,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0495,0.5,0.0495,0.5
0.38453,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.054,0.5,0.054,0.5
0.38468,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0585,0.5,0.0585,0.5
0.38482,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.063,0.5,0.063,0.5
0.38496,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0675,0.5,0.0675,0.5
0.38511,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.072,0.5,0.072,0.5
0.38525,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0765,0.5,0.0765,0.5
0.38539,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.081,0.5,0.081,0.5
0.38553,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0855,0.5,0.0855,0.5
0.38568,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.09,0.5,0.09,0.5
0.38582,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.0945,0.5,0.0945,0.5
0.38596,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.099,0.5,0.099,0.5
0.38611,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1035,0.5,0.1035,0.5
0.38625,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.108,0.5,0.108,0.5
0.38639,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1125,0.5,0.1125,0.5
0.38654,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.117,0.5,0.117,0.5
0.38668,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1215,0.5,0.1215,0.5
0.38682,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.126,0.5,0.126,0.5
0.38697,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1305,0.5,0.1305,0.5
0.38711,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.135,0.5,0.135,0.5
0.38725,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1395,0.5,0.1395,0.5
0.38739,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.144,0.5,0.144,0.5
0.38754,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1485,0.5,0.1485,0.5
0.38768,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.153,0.5,0.153,0.5
0.38782,28,0.079325,1,1,-8.2472e-05,4.6543e-05,0,1,0.1575,0.5,0.1575,0.5
