"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.002872,1,0.001,1,0,0.125,0.075,0.256
-0.13081,1,0.001,1,0.000256,0.125,0.075,0.25574
-0.25876,1,0.001,1,0.000512,0.125,0.075,0.25549
-0.3867,1,0.001,1,0.00076801,0.125,0.075,0.25523
-0.51464,1,0.001,1,0.001024,0.125,0.075,0.25498
-0.64258,1,0.001,1,0.00128,0.125,0.075,0.25472
-0.77053,1,0.001,1,0.001536,0.125,0.075,0.25446
-0.89847,1,0.001,1,0.001792,0.125,0.075,0.25421
-1.0264,1,0.001,1,0.002048,0.125,0.075,0.25395
-1.1543,1,0.001,1,0.002304,0.125,0.075,0.2537
-1.2823,1,0.001,1,0.00256,0.125,0.075,0.25344
-1.4102,1,0.001,1,0.002816,0.125,0.075,0.25318
-1.5382,1,0.001,1,0.003072,0.125,0.075,0.25293
-1.6661,1,0.001,1,0.003328,0.125,0.075,0.25267
-1.794,1,0.001,1,0.003584,0.125,0.075,0.25242
-1.922,1,0.001,1,0.00384,0.125,0.075,0.25216
-2.0499,1,0.001,1,0.004096,0.125,0.075,0.2519
-2.1779,1,0.001,1,0.004352,0.125,0.075,0.25165
-2.3058,1,0.001,1,0.004608,0.125,0.075,0.25139
-2.4338,1,0.001,1,0.004864,0.125,0.075,0.25114
-2.5617,1,0.001,1,0.00512,0.125,0.075,0.25088
-2.6896,1,0.001,1,0.005376,0.125,0.075,0.25062
-2.8176,1,0.001,1,0.005632,0.125,0.075,0.25037
-2.9455,1,0.001,1,0.005888,0.125,0.075,0.25011
-3.0735,1,0.001,1,0.006144,0.125,0.075,0.24986
-3.2014,1,0.001,1,0.0064,0.125,0.075,0.2496
-3.3293,1,0.001,1,0.006656,0.125,0.075,0.24934
-3.4573,1,0.001,1,0.006912,0.125,0.075,0.24909
-3.5852,1,0.001,1,0.007168,0.125,0.075,0.24883
-3.7132,1,0.001,1,0.007424,0.125,0.075,0.24858
-3.8411,1,0.001,1,0.00768,0.125,0.075,0.24832
-3.9691,1,0.001,1,0.007936,0.125,0.075,0.24806
-4.097,1,0.001,1,0.008192,0.125,0.075,0.24781
-4.2249,1,0.001,1,0.008448,0.125,0.075,0.24755
-4.3529,1,0.001,1,0.008704,0.125,0.075,0.2473
-4.4808,1,0.001,1,0.00896,0.125,0.075,0.24704
-4.6088,1,0.001,1,0.009216,0.125,0.075,0.24678
-4.7367,1,0.001,1,0.009472,0.125,0.075,0.24653
-4.8646,1,0.001,1,0.009728,0.125,0.075,0.24627
-4.9926,1,0.001,1,0.009984,0.125,0.075,0.24602
-5.1205,1,0.001,1,0.01024,0.125,0.075,0.24576
-4.9225,1,0.001,1,0.010496,0.125,0.075,0.2455
-4.7244,1,0.001,1,0.010752,0.125,0.075,0.24525
-4.5263,1,0.001,1,0.011008,0.125,0.075,0.24499
-4.3282,1,0.001,1,0.011264,0.125,0.075,0.24474
-4.1301,1,0.001,1,0.01152,0.125,0.075,0.24448
-3.932,1,0.001,1,0.011776,0.125,0.075,0.24422
-3.7339,1,0.001,1,0.012032,0.125,0.075,0.24397
-3.5358,1,0.001,1,0.012288,0.125,0.075,0.24371
-3.3377,1,0.001,1,0.012544,0.125,0.075,0.24346
-3.1397,1,0.001,1,0.0128,0.125,0.075,0.2432
-2.9416,1,0.001,1,0.013056,0.125,0.075,0.24294
-2.7435,1,0.001,1,0.013312,0.125,0.075,0.24269
-2.5454,1,0.001,1,0.013568,0.125,0.075,0.24243
-2.3473,1,0.001,1,0.013824,0.125,0.075,0.24218
-2.1492,1,0.001,1,0.01408,0.125,0.075,0.24192
-1.9511,1,0.001,1,0.014336,0.125,0.075,0.24166
-1.753,1,0.001,1,0.014592,0.125,0.075,0.24141
-1.555,1,0.001,1,0.014848,0.125,0.075,0.24115
-1.3569,1,0.001,1,0.015104,0.125,0.075,0.2409
-1.1588,1,0.001,1,0.01536,0.125,0.075,0.24064
-0.96068,1,0.001,1,0.015616,0.125,0.075,0.24038
-0.76259,1,0.001,1,0.015872,0.125,0.075,0.24013
-0.5645,1,0.001,1,0.016128,0.125,0.075,0.23987
-0.36641,1,0.001,1,0.016384,0.125,0.075,0.23962
-0.16832,1,0.001,1,0.01664,0.125,0.075,0.23936
0.029759,1,0.001,1,0.016896,0.125,0.075,0.2391
0.22785,1,0.001,1,0.017152,0.125,0.075,0.23885
0.42594,1,0.001,1,0.017408,0.125,0.075,0.23859
0.62403,1,0.001,1,0.017664,0.125,0.075,0.23834
0.82212,1,0.001,1,0.01792,0.125,0.075,0.23808
1.0202,1,0.001,1,0.018176,0.125,0.075,0.23782
1.2183,1,0.001,1,0.018432,0.125,0.075,0.23757
1.4164,1,0.001,1,0.018688,0.125,0.075,0.23731
1.6145,1,0.001,1,0.018944,0.125,0.075,0.23706
1.8126,1,0.001,1,0.0192,0.125,0.075,0.2368
2.0107,1,0.001,1,0.019456,0.125,0.075,0.23654
2.2087,1,0.001,1,0.019712,0.125,0.075,0.23629
2.4068,1,0.001,1,0.019968,0.125,0.075,0.23603
2.6049,1,0.001,1,0.020224,0.125,0.075,0.23578
2.803,1,0.001,1,0.02048,0.125,0.075,0.23552
3.0995,1,0.001,1,0.020736,0.125,0.075,0.23526
3.3961,1,0.001,1,0.020992,0.125,0.075,0.23501
3.6926,1,0.001,1,0.021248,0.125,0.075,0.23475
3.9891,1,0.001,1,0.021504,0.125,0.075,0.2345
4.2857,1,0.001,1,0.02176,0.125,0.075,0.23424
4.5822,1,0.001,1,0.022016,0.125,0.075,0.23398
4.8788,1,0.001,1,0.022272,0.125,0.075,0.23373
5.1753,1,0.001,1,0.022528,0.125,0.075,0.23347
5.4718,1,0.001,1,0.022784,0.125,0.075,0.23322
5.7684,1,0.001,1,0.02304,0.125,0.075,0.23296
6.0649,1,0.001,1,0.023296,0.125,0.075,0.2327
6.3614,1,0.001,1,0.023552,0.125,0.075,0.23245
6.658,1,0.001,1,0.023808,0.125,0.075,0.23219
6.9545,1,0.001,1,0.024064,0.125,0.075,0.23194
7.251,1,0.001,1,0.02432,0.125,0.075,0.23168
7.5476,1,0.001,1,0.024576,0.125,0.075,0.23142
7.8441,1,0.001,1,0.024832,0.125,0.075,0.23117
8.1406,1,0.001,1,0.025088,0.125,0.075,0.23091
8.4372,1,0.001,1,0.025344,0.125,0.075,0.23066
8.7337,1,0.001,1,0.0256,0.125,0.075,0.2304
9.0303,1,0.001,1,0.025856,0.125,0.075,0.23014
9.3268,1,0.001,1,0.026112,0.125,0.075,0.22989
9.6233,1,0.001,1,0.026368,0.125,0.075,0.22963
9.9199,1,0.001,1,0.026624,0.125,0.075,0.22938
10.216,1,0.001,1,0.02688,0.125,0.075,0.22912
10.513,1,0.001,1,0.027136,0.125,0.075,0.22886
10.809,1,0.001,1,0.027392,0.125,0.075,0.22861
