"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0068174,0.02,0.001047,1,0,0,0,-1,1,0,0.125,0.075,0.256
0.29482,0.02,0.001047,1,0,0,0,-1,1,0.000256,0.125,0.075,0.25574
0.58282,0.02,0.001047,1,0,0,0,-1,1,0.000512,0.125,0.075,0.25549
0.87082,0.02,0.001047,1,0,0,0,-1,1,0.00076801,0.125,0.075,0.25523
1.1588,0.02,0.001047,1,0,0,0,-1,1,0.001024,0.125,0.075,0.25498
1.4468,0.02,0.001047,1,0,0,0,-1,1,0.00128,0.125,0.075,0.25472
1.7348,0.02,0.001047,1,0,0,0,-1,1,0.001536,0.125,0.075,0.25446
2.0228,0.02,0.001047,1,0,0,0,-1,1,0.001792,0.125,0.075,0.25421
2.3108,0.02,0.001047,1,0,0,0,-1,1,0.002048,0.125,0.075,0.25395
2.5988,0.02,0.001047,1,0,0,0,-1,1,0.002304,0.125,0.075,0.2537
2.8868,0.02,0.001047,1,0,0,0,-1,1,0.00256,0.125,0.075,0.25344
3.1748,0.02,0.001047,1,0,0,0,-1,1,0.002816,0.125,0.075,0.25318
3.4628,0.02,0.001047,1,0,0,0,-1,1,0.003072,0.125,0.075,0.25293
3.7508,0.02,0.001047,1,0,0,0,-1,1,0.003328,0.125,0.075,0.25267
4.0388,0.02,0.001047,1,0,0,0,-1,1,0.003584,0.125,0.075,0.25242
4.3268,0.02,0.001047,1,0,0,0,-1,1,0.00384,0.125,0.075,0.25216
4.6148,0.02,0.001047,1,0,0,0,-1,1,0.004096,0.125,0.075,0.2519
4.9028,0.02,0.001047,1,0,0,0,-1,1,0.004352,0.125,0.075,0.25165
5.1908,0.02,0.001047,1,0,0,0,-1,1,0.004608,0.125,0.075,0.25139
5.4788,0.02,0.001047,1,0,0,0,-1,1,0.004864,0.125,0.075,0.25114
5.7668,0.02,0.001047,1,0,0,0,-1,1,0.00512,0.125,0.075,0.25088
6.0548,0.02,0.001047,1,0,0,0,-1,1,0.005376,0.125,0.075,0.25062
6.3428,0.02,0.001047,1,0,0,0,-1,1,0.005632,0.125,0.075,0.25037
6.6308,0.02,0.001047,1,0,0,0,-1,1,0.005888,0.125,0.075,0.25011
6.9188,0.02,0.001047,1,0,0,0,-1,1,0.006144,0.125,0.075,0.24986
7.2068,0.02,0.001047,1,0,0,0,-1,1,0.0064,0.125,0.075,0.2496
7.4948,0.02,0.001047,1,0,0,0,-1,1,0.006656,0.125,0.075,0.24934
7.7828,0.02,0.001047,1,0,0,0,-1,1,0.006912,0.125,0.075,0.24909
8.0708,0.02,0.001047,1,0,0,0,-1,1,0.007168,0.125,0.075,0.24883
8.3588,0.02,0.001047,1,0,0,0,-1,1,0.007424,0.125,0.075,0.24858
8.6468,0.02,0.001047,1,0,0,0,-1,1,0.00768,0.125,0.075,0.24832
8.9348,0.02,0.001047,1,0,0,0,-1,1,0.007936,0.125,0.075,0.24806
