"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.012757,0.021678,3.6442e-05,1,0,0,0,-1,1,0,0.125,0.075,0.256
0.8009,0.021678,3.6442e-05,1,0,0,0,-1,1,0.000256,0.125,0.075,0.25574
1.589,0.021678,3.6442e-05,1,0,0,0,-1,1,0.000512,0.125,0.075,0.25549
2.3772,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00076801,0.125,0.075,0.25523
3.1653,0.021678,3.6442e-05,1,0,0,0,-1,1,0.001024,0.125,0.075,0.25498
3.9535,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00128,0.125,0.075,0.25472
4.7416,0.021678,3.6442e-05,1,0,0,0,-1,1,0.001536,0.125,0.075,0.25446
5.5297,0.021678,3.6442e-05,1,0,0,0,-1,1,0.001792,0.125,0.075,0.25421
6.3178,0.021678,3.6442e-05,1,0,0,0,-1,1,0.002048,0.125,0.075,0.25395
7.1059,0.021678,3.6442e-05,1,0,0,0,-1,1,0.002304,0.125,0.075,0.2537
7.8941,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00256,0.125,0.075,0.25344
8.6822,0.021678,3.6442e-05,1,0,0,0,-1,1,0.002816,0.125,0.075,0.25318
9.4703,0.021678,3.6442e-05,1,0,0,0,-1,1,0.003072,0.125,0.075,0.25293
10.258,0.021678,3.6442e-05,1,0,0,0,-1,1,0.003328,0.125,0.075,0.25267
11.047,0.021678,3.6442e-05,1,0,0,0,-1,1,0.003584,0.125,0.075,0.25242
11.835,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00384,0.125,0.075,0.25216
12.623,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004096,0.125,0.075,0.2519
13.411,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004352,0.125,0.075,0.25165
14.199,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004608,0.125,0.075,0.25139
14.987,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004864,0.125,0.075,0.25114
15.775,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00512,0.125,0.075,0.25088
16.564,0.021678,3.6442e-05,1,0,0,0,-1,1,0.005376,0.125,0.075,0.25062
17.352,0.021678,3.6442e-05,1,0,0,0,-1,1,0.005632,0.125,0.075,0.25037
18.14,0.021678,3.6442e-05,1,0,0,0,-1,1,0.005888,0.125,0.075,0.25011
18.928,0.021678,3.6442e-05,1,0,0,0,-1,1,0.006144,0.125,0.075,0.24986
19.716,0.021678,3.6442e-05,1,0,0,0,-1,1,0.0064,0.125,0.075,0.2496
20.504,0.021678,3.6442e-05,1,0,0,0,-1,1,0.006656,0.125,0.075,0.24934
21.292,0.021678,3.6442e-05,1,0,0,0,-1,1,0.006912,0.125,0.075,0.24909
