"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.012858,0.021678,3.6442e-05,1,0,0,0,-1,1,0,0.175,0.025,0.256
0.78676,0.021678,3.6442e-05,1,0,0,0,-1,1,0.000256,0.175,0.025,0.25574
1.5607,0.021678,3.6442e-05,1,0,0,0,-1,1,0.000512,0.175,0.025,0.25549
2.3346,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00076801,0.175,0.025,0.25523
3.1085,0.021678,3.6442e-05,1,0,0,0,-1,1,0.001024,0.175,0.025,0.25498
3.8824,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00128,0.175,0.025,0.25472
4.6563,0.021678,3.6442e-05,1,0,0,0,-1,1,0.001536,0.175,0.025,0.25446
5.4302,0.021678,3.6442e-05,1,0,0,0,-1,1,0.001792,0.175,0.025,0.25421
6.204,0.021678,3.6442e-05,1,0,0,0,-1,1,0.002048,0.175,0.025,0.25395
6.9779,0.021678,3.6442e-05,1,0,0,0,-1,1,0.002304,0.175,0.025,0.2537
7.7518,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00256,0.175,0.025,0.25344
8.5257,0.021678,3.6442e-05,1,0,0,0,-1,1,0.002816,0.175,0.025,0.25318
9.2996,0.021678,3.6442e-05,1,0,0,0,-1,1,0.003072,0.175,0.025,0.25293
10.074,0.021678,3.6442e-05,1,0,0,0,-1,1,0.003328,0.175,0.025,0.25267
10.847,0.021678,3.6442e-05,1,0,0,0,-1,1,0.003584,0.175,0.025,0.25242
11.621,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00384,0.175,0.025,0.25216
12.395,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004096,0.175,0.025,0.2519
13.169,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004352,0.175,0.025,0.25165
13.943,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004608,0.175,0.025,0.25139
14.717,0.021678,3.6442e-05,1,0,0,0,-1,1,0.004864,0.175,0.025,0.25114
15.491,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00512,0.175,0.025,0.25088
16.265,0.021678,3.6442e-05,1,0,0,0,-1,1,0.005376,0.175,0.025,0.25062
17.039,0.021678,3.6442e-05,1,0,0,0,-1,1,0.005632,0.175,0.025,0.25037
17.813,0.021678,3.6442e-05,1,0,0,0,-1,1,0.005888,0.175,0.025,0.25011
18.586,0.021678,3.6442e-05,1,0,0,0,-1,1,0.006144,0.175,0.025,0.24986
19.36,0.021678,3.6442e-05,1,0,0,0,-1,1,0.0064,0.175,0.025,0.2496
20.134,0.021678,3.6442e-05,1,0,0,0,-1,1,0.006656,0.175,0.025,0.24934
20.908,0.021678,3.6442e-05,1,0,0,0,-1,1,0.006912,0.175,0.025,0.24909
21.682,0.021678,3.6442e-05,1,0,0,0,-1,1,0.007168,0.175,0.025,0.24883
22.456,0.021678,3.6442e-05,1,0,0,0,-1,1,0.007424,0.175,0.025,0.24858
23.23,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00768,0.175,0.025,0.24832
24.004,0.021678,3.6442e-05,1,0,0,0,-1,1,0.007936,0.175,0.025,0.24806
24.778,0.021678,3.6442e-05,1,0,0,0,-1,1,0.008192,0.175,0.025,0.24781
25.552,0.021678,3.6442e-05,1,0,0,0,-1,1,0.008448,0.175,0.025,0.24755
26.325,0.021678,3.6442e-05,1,0,0,0,-1,1,0.008704,0.175,0.025,0.2473
27.099,0.021678,3.6442e-05,1,0,0,0,-1,1,0.00896,0.175,0.025,0.24704
27.873,0.021678,3.6442e-05,1,0,0,0,-1,1,0.009216,0.175,0.025,0.24678
28.647,0.021678,3.6442e-05,1,0,0,0,-1,1,0.009472,0.175,0.025,0.24653
29.421,0.021678,3.6442e-05,1,0,0,0,-1,1,0.009728,0.175,0.025,0.24627
30.195,0.021678,3.6442e-05,1,0,0,0,-1,1,0.009984,0.175,0.025,0.24602
30.969,0.021678,3.6442e-05,1,0,0,0,-1,1,0.01024,0.175,0.025,0.24576
31.368,0.021678,3.6442e-05,1,0,0,0,-1,1,0.010496,0.175,0.025,0.2455
31.768,0.021678,3.6442e-05,1,0,0,0,-1,1,0.010752,0.175,0.025,0.24525
32.168,0.021678,3.6442e-05,1,0,0,0,-1,1,0.011008,0.175,0.025,0.24499
32.567,0.021678,3.6442e-05,1,0,0,0,-1,1,0.011264,0.175,0.025,0.24474
32.967,0.021678,3.6442e-05,1,0,0,0,-1,1,0.01152,0.175,0.025,0.24448
33.367,0.021678,3.6442e-05,1,0,0,0,-1,1,0.011776,0.175,0.025,0.24422
33.766,0.021678,3.6442e-05,1,0,0,0,-1,1,0.012032,0.175,0.025,0.24397
34.166,0.021678,3.6442e-05,1,0,0,0,-1,1,0.012288,0.175,0.025,0.24371
34.566,0.021678,3.6442e-05,1,0,0,0,-1,1,0.012544,0.175,0.025,0.24346
34.965,0.021678,3.6442e-05,1,0,0,0,-1,1,0.0128,0.175,0.025,0.2432
35.365,0.021678,3.6442e-05,1,0,0,0,-1,1,0.013056,0.175,0.025,0.24294
35.765,0.021678,3.6442e-05,1,0,0,0,-1,1,0.013312,0.175,0.025,0.24269
36.164,0.021678,3.6442e-05,1,0,0,0,-1,1,0.013568,0.175,0.025,0.24243
36.564,0.021678,3.6442e-05,1,0,0,0,-1,1,0.013824,0.175,0.025,0.24218
36.964,0.021678,3.6442e-05,1,0,0,0,-1,1,0.01408,0.175,0.025,0.24192
37.363,0.021678,3.6442e-05,1,0,0,0,-1,1,0.014336,0.175,0.025,0.24166
37.763,0.021678,3.6442e-05,1,0,0,0,-1,1,0.014592,0.175,0.025,0.24141
38.163,0.021678,3.6442e-05,1,0,0,0,-1,1,0.014848,0.175,0.025,0.24115
38.562,0.021678,3.6442e-05,1,0,0,0,-1,1,0.015104,0.175,0.025,0.2409
38.962,0.021678,3.6442e-05,1,0,0,0,-1,1,0.01536,0.175,0.025,0.24064
39.362,0.021678,3.6442e-05,1,0,0,0,-1,1,0.015616,0.175,0.025,0.24038
39.761,0.021678,3.6442e-05,1,0,0,0,-1,1,0.015872,0.175,0.025,0.24013
40.161,0.021678,3.6442e-05,1,0,0,0,-1,1,0.016128,0.175,0.025,0.23987
40.561,0.021678,3.6442e-05,1,0,0,0,-1,1,0.016384,0.175,0.025,0.23962
40.96,0.021678,3.6442e-05,1,0,0,0,-1,1,0.01664,0.175,0.025,0.23936
41.36,0.021678,3.6442e-05,1,0,0,0,-1,1,0.016896,0.175,0.025,0.2391
41.759,0.021678,3.6442e-05,1,0,0,0,-1,1,0.017152,0.175,0.025,0.23885
42.159,0.021678,3.6442e-05,1,0,0,0,-1,1,0.017408,0.175,0.025,0.23859
42.559,0.021678,3.6442e-05,1,0,0,0,-1,1,0.017664,0.175,0.025,0.23834
42.958,0.021678,3.6442e-05,1,0,0,0,-1,1,0.01792,0.175,0.025,0.23808
43.358,0.021678,3.6442e-05,1,0,0,0,-1,1,0.018176,0.175,0.025,0.23782
43.758,0.021678,3.6442e-05,1,0,0,0,-1,1,0.018432,0.175,0.025,0.23757
44.157,0.021678,3.6442e-05,1,0,0,0,-1,1,0.018688,0.175,0.025,0.23731
44.557,0.021678,3.6442e-05,1,0,0,0,-1,1,0.018944,0.175,0.025,0.23706
44.957,0.021678,3.6442e-05,1,0,0,0,-1,1,0.0192,0.175,0.025,0.2368
45.356,0.021678,3.6442e-05,1,0,0,0,-1,1,0.019456,0.175,0.025,0.23654
45.756,0.021678,3.6442e-05,1,0,0,0,-1,1,0.019712,0.175,0.025,0.23629
46.156,0.021678,3.6442e-05,1,0,0,0,-1,1,0.019968,0.175,0.025,0.23603
46.555,0.021678,3.6442e-05,1,0,0,0,-1,1,0.020224,0.175,0.025,0.23578
46.955,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02048,0.175,0.025,0.23552
47.155,0.021678,3.6442e-05,1,0,0,0,-1,1,0.020736,0.175,0.025,0.23526
47.355,0.021678,3.6442e-05,1,0,0,0,-1,1,0.020992,0.175,0.025,0.23501
47.554,0.021678,3.6442e-05,1,0,0,0,-1,1,0.021248,0.175,0.025,0.23475
47.754,0.021678,3.6442e-05,1,0,0,0,-1,1,0.021504,0.175,0.025,0.2345
47.954,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02176,0.175,0.025,0.23424
48.154,0.021678,3.6442e-05,1,0,0,0,-1,1,0.022016,0.175,0.025,0.23398
48.353,0.021678,3.6442e-05,1,0,0,0,-1,1,0.022272,0.175,0.025,0.23373
48.553,0.021678,3.6442e-05,1,0,0,0,-1,1,0.022528,0.175,0.025,0.23347
48.753,0.021678,3.6442e-05,1,0,0,0,-1,1,0.022784,0.175,0.025,0.23322
48.953,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02304,0.175,0.025,0.23296
49.153,0.021678,3.6442e-05,1,0,0,0,-1,1,0.023296,0.175,0.025,0.2327
49.352,0.021678,3.6442e-05,1,0,0,0,-1,1,0.023552,0.175,0.025,0.23245
49.552,0.021678,3.6442e-05,1,0,0,0,-1,1,0.023808,0.175,0.025,0.23219
49.752,0.021678,3.6442e-05,1,0,0,0,-1,1,0.024064,0.175,0.025,0.23194
49.952,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02432,0.175,0.025,0.23168
50.152,0.021678,3.6442e-05,1,0,0,0,-1,1,0.024576,0.175,0.025,0.23142
50.351,0.021678,3.6442e-05,1,0,0,0,-1,1,0.024832,0.175,0.025,0.23117
50.551,0.021678,3.6442e-05,1,0,0,0,-1,1,0.025088,0.175,0.025,0.23091
50.751,0.021678,3.6442e-05,1,0,0,0,-1,1,0.025344,0.175,0.025,0.23066
50.951,0.021678,3.6442e-05,1,0,0,0,-1,1,0.0256,0.175,0.025,0.2304
51.15,0.021678,3.6442e-05,1,0,0,0,-1,1,0.025856,0.175,0.025,0.23014
51.35,0.021678,3.6442e-05,1,0,0,0,-1,1,0.026112,0.175,0.025,0.22989
51.55,0.021678,3.6442e-05,1,0,0,0,-1,1,0.026368,0.175,0.025,0.22963
51.75,0.021678,3.6442e-05,1,0,0,0,-1,1,0.026624,0.175,0.025,0.22938
51.95,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02688,0.175,0.025,0.22912
52.149,0.021678,3.6442e-05,1,0,0,0,-1,1,0.027136,0.175,0.025,0.22886
52.349,0.021678,3.6442e-05,1,0,0,0,-1,1,0.027392,0.175,0.025,0.22861
52.549,0.021678,3.6442e-05,1,0,0,0,-1,1,0.027648,0.175,0.025,0.22835
52.749,0.021678,3.6442e-05,1,0,0,0,-1,1,0.027904,0.175,0.025,0.2281
52.949,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02816,0.175,0.025,0.22784
53.148,0.021678,3.6442e-05,1,0,0,0,-1,1,0.028416,0.175,0.025,0.22758
53.348,0.021678,3.6442e-05,1,0,0,0,-1,1,0.028672,0.175,0.025,0.22733
53.548,0.021678,3.6442e-05,1,0,0,0,-1,1,0.028928,0.175,0.025,0.22707
53.748,0.021678,3.6442e-05,1,0,0,0,-1,1,0.029184,0.175,0.025,0.22682
53.947,0.021678,3.6442e-05,1,0,0,0,-1,1,0.02944,0.175,0.025,0.22656
54.147,0.021678,3.6442e-05,1,0,0,0,-1,1,0.029696,0.175,0.025,0.2263
54.347,0.021678,3.6442e-05,1,0,0,0,-1,1,0.029952,0.175,0.025,0.22605
54.547,0.021678,3.6442e-05,1,0,0,0,-1,1,0.030208,0.175,0.025,0.22579
54.747,0.021678,3.6442e-05,1,0,0,0,-1,1,0.030464,0.175,0.025,0.22554
