"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,0.0084919,0,0,-1,1,0,0.125,0.075,0.256
0.021678,3.6442e-05,1,0,0.71909,0,0,-1,1,0.000256,0.125,0.075,0.25574
0.021678,3.6442e-05,1,0,1.4297,0,0,-1,1,0.000512,0.125,0.075,0.25549
0.021678,3.6442e-05,1,0,2.1403,0,0,-1,1,0.00076801,0.125,0.075,0.25523
0.021678,3.6442e-05,1,0,2.8509,0,0,-1,1,0.001024,0.125,0.075,0.25498
0.021678,3.6442e-05,1,0,3.5615,0,0,-1,1,0.00128,0.125,0.075,0.25472
0.021678,3.6442e-05,1,0,4.2721,0,0,-1,1,0.001536,0.125,0.075,0.25446
0.021678,3.6442e-05,1,0,4.9827,0,0,-1,1,0.001792,0.125,0.075,0.25421
0.021678,3.6442e-05,1,0,5.6932,0,0,-1,1,0.002048,0.125,0.075,0.25395
0.021678,3.6442e-05,1,0,6.4038,0,0,-1,1,0.002304,0.125,0.075,0.2537
0.021678,3.6442e-05,1,0,7.1144,0,0,-1,1,0.00256,0.125,0.075,0.25344
0.021678,3.6442e-05,1,0,7.825,0,0,-1,1,0.002816,0.125,0.075,0.25318
0.021678,3.6442e-05,1,0,8.5356,0,0,-1,1,0.003072,0.125,0.075,0.25293
0.021678,3.6442e-05,1,0,9.2462,0,0,-1,1,0.003328,0.125,0.075,0.25267
0.021678,3.6442e-05,1,0,9.9568,0,0,-1,1,0.003584,0.125,0.075,0.25242
0.021678,3.6442e-05,1,0,10.667,0,0,-1,1,0.00384,0.125,0.075,0.25216
0.021678,3.6442e-05,1,0,11.378,0,0,-1,1,0.004096,0.125,0.075,0.2519
0.021678,3.6442e-05,1,0,12.089,0,0,-1,1,0.004352,0.125,0.075,0.25165
0.021678,3.6442e-05,1,0,12.799,0,0,-1,1,0.004608,0.125,0.075,0.25139
0.021678,3.6442e-05,1,0,13.51,0,0,-1,1,0.004864,0.125,0.075,0.25114
0.021678,3.6442e-05,1,0,14.22,0,0,-1,1,0.00512,0.125,0.075,0.25088
0.021678,3.6442e-05,1,0,14.931,0,0,-1,1,0.005376,0.125,0.075,0.25062
0.021678,3.6442e-05,1,0,15.642,0,0,-1,1,0.005632,0.125,0.075,0.25037
0.021678,3.6442e-05,1,0,16.352,0,0,-1,1,0.005888,0.125,0.075,0.25011
0.021678,3.6442e-05,1,0,17.063,0,0,-1,1,0.006144,0.125,0.075,0.24986
0.021678,3.6442e-05,1,0,17.773,0,0,-1,1,0.0064,0.125,0.075,0.2496
0.021678,3.6442e-05,1,0,18.484,0,0,-1,1,0.006656,0.125,0.075,0.24934
0.021678,3.6442e-05,1,0,19.194,0,0,-1,1,0.006912,0.125,0.075,0.24909
0.021678,3.6442e-05,1,0,19.905,0,0,-1,1,0.007168,0.125,0.075,0.24883
0.021678,3.6442e-05,1,0,20.616,0,0,-1,1,0.007424,0.125,0.075,0.24858
0.021678,3.6442e-05,1,0,21.326,0,0,-1,1,0.00768,0.125,0.075,0.24832
0.021678,3.6442e-05,1,1.6446e-16,22.037,1.2582e-15,0,-1,1,0.007936,0.125,0.075,0.24806
0.021678,3.6442e-05,1,0,22.747,0,0,-1,1,0.008192,0.125,0.075,0.24781
0.021678,3.6442e-05,1,0,23.458,0,0,-1,1,0.008448,0.125,0.075,0.24755
0.021678,3.6442e-05,1,0,24.169,0,0,-1,1,0.008704,0.125,0.075,0.2473
0.021678,3.6442e-05,1,0,24.879,0,0,-1,1,0.00896,0.125,0.075,0.24704
0.021678,3.6442e-05,1,0,25.59,0,0,-1,1,0.009216,0.125,0.075,0.24678
0.021678,3.6442e-05,1,0,26.3,0,0,-1,1,0.009472,0.125,0.075,0.24653
0.021678,3.6442e-05,1,0,27.011,0,0,-1,1,0.009728,0.125,0.075,0.24627
0.021678,3.6442e-05,1,0,27.722,0,0,-1,1,0.009984,0.125,0.075,0.24602
0.021678,3.6442e-05,1,0,28.432,0,0,-1,1,0.01024,0.125,0.075,0.24576
0.021678,3.6442e-05,1,0,28.947,0,0,-1,1,0.010496,0.125,0.075,0.2455
0.021678,3.6442e-05,1,0,29.462,0,0,-1,1,0.010752,0.125,0.075,0.24525
0.021678,3.6442e-05,1,0,29.977,0,0,-1,1,0.011008,0.125,0.075,0.24499
0.021678,3.6442e-05,1,0,30.491,0,0,-1,1,0.011264,0.125,0.075,0.24474
0.021678,3.6442e-05,1,0,31.006,0,0,-1,1,0.01152,0.125,0.075,0.24448
0.021678,3.6442e-05,1,0,31.521,0,0,-1,1,0.011776,0.125,0.075,0.24422
0.021678,3.6442e-05,1,0,32.036,0,0,-1,1,0.012032,0.125,0.075,0.24397
0.021678,3.6442e-05,1,0,32.551,0,0,-1,1,0.012288,0.125,0.075,0.24371
0.021678,3.6442e-05,1,0,33.065,0,0,-1,1,0.012544,0.125,0.075,0.24346
0.021678,3.6442e-05,1,0,33.58,0,0,-1,1,0.0128,0.125,0.075,0.2432
0.021678,3.6442e-05,1,0,34.095,0,0,-1,1,0.013056,0.125,0.075,0.24294
0.021678,3.6442e-05,1,0,34.61,0,0,-1,1,0.013312,0.125,0.075,0.24269
0.021678,3.6442e-05,1,0,35.125,0,0,-1,1,0.013568,0.125,0.075,0.24243
0.021678,3.6442e-05,1,0,35.639,0,0,-1,1,0.013824,0.125,0.075,0.24218
0.021678,3.6442e-05,1,0,36.154,0,0,-1,1,0.01408,0.125,0.075,0.24192
0.021678,3.6442e-05,1,0,36.669,0,0,-1,1,0.014336,0.125,0.075,0.24166
0.021678,3.6442e-05,1,0,37.184,0,0,-1,1,0.014592,0.125,0.075,0.24141
0.021678,3.6442e-05,1,0,37.698,0,0,-1,1,0.014848,0.125,0.075,0.24115
0.021678,3.6442e-05,1,0,38.213,0,0,-1,1,0.015104,0.125,0.075,0.2409
