"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.208e-05,0.02,0.001047,1,0,0,0,-1,1,0,0.125,0.075,0.256
-0.57222,0.02,0.001047,1,0,0,0,-1,1,0.000256,0.125,0.075,0.25574
-1.1444,0.02,0.001047,1,0,0,0,-1,1,0.000512,0.125,0.075,0.25549
-1.7166,0.02,0.001047,1,0,0,0,-1,1,0.00076801,0.125,0.075,0.25523
-2.2889,0.02,0.001047,1,0,0,0,-1,1,0.001024,0.125,0.075,0.25498
-2.8611,0.02,0.001047,1,0,0,0,-1,1,0.00128,0.125,0.075,0.25472
-3.4333,0.02,0.001047,1,0,0,0,-1,1,0.001536,0.125,0.075,0.25446
-4.0055,0.02,0.001047,1,0,0,0,-1,1,0.001792,0.125,0.075,0.25421
-4.5776,0.02,0.001047,1,0,0,0,-1,1,0.002048,0.125,0.075,0.25395
-5.1499,0.02,0.001047,1,0,0,0,-1,1,0.002304,0.125,0.075,0.2537
-5.7221,0.02,0.001047,1,0,0,0,-1,1,0.00256,0.125,0.075,0.25344
-6.2943,0.02,0.001047,1,0,0,0,-1,1,0.002816,0.125,0.075,0.25318
-6.8665,0.02,0.001047,1,0,0,0,-1,1,0.003072,0.125,0.075,0.25293
-7.4387,0.02,0.001047,1,0,0,0,-1,1,0.003328,0.125,0.075,0.25267
-8.0109,0.02,0.001047,1,0,0,0,-1,1,0.003584,0.125,0.075,0.25242
-8.5831,0.02,0.001047,1,0,0,0,-1,1,0.00384,0.125,0.075,0.25216
-9.1553,0.02,0.001047,1,0,0,0,-1,1,0.004096,0.125,0.075,0.2519
-9.7275,0.02,0.001047,1,0,0,0,-1,1,0.004352,0.125,0.075,0.25165
-10.3,0.02,0.001047,1,0,0,0,-1,1,0.004608,0.125,0.075,0.25139
-10.872,0.02,0.001047,1,0,0,0,-1,1,0.004864,0.125,0.075,0.25114
-11.444,0.02,0.001047,1,0,0,0,-1,1,0.00512,0.125,0.075,0.25088
-12.016,0.02,0.001047,1,0,0,0,-1,1,0.005376,0.125,0.075,0.25062
-12.589,0.02,0.001047,1,0,0,0,-1,1,0.005632,0.125,0.075,0.25037
-13.161,0.02,0.001047,1,0,0,0,-1,1,0.005888,0.125,0.075,0.25011
-13.733,0.02,0.001047,1,0,0,0,-1,1,0.006144,0.125,0.075,0.24986
-14.305,0.02,0.001047,1,0,0,0,-1,1,0.0064,0.125,0.075,0.2496
-14.877,0.02,0.001047,1,0,0,0,-1,1,0.006656,0.125,0.075,0.24934
-15.45,0.02,0.001047,1,0,0,0,-1,1,0.006912,0.125,0.075,0.24909
-16.022,0.02,0.001047,1,0,0,0,-1,1,0.007168,0.125,0.075,0.24883
-16.594,0.02,0.001047,1,0,0,0,-1,1,0.007424,0.125,0.075,0.24858
-17.166,0.02,0.001047,1,0,0,0,-1,1,0.00768,0.125,0.075,0.24832
-17.738,0.02,0.001047,1,0,0,0,-1,1,0.007936,0.125,0.075,0.24806
-18.311,0.02,0.001047,1,0,0,0,-1,1,0.008192,0.125,0.075,0.24781
-18.883,0.02,0.001047,1,0,0,0,-1,1,0.008448,0.125,0.075,0.24755
-19.455,0.02,0.001047,1,0,0,0,-1,1,0.008704,0.125,0.075,0.2473
-20.027,0.02,0.001047,1,0,0,0,-1,1,0.00896,0.125,0.075,0.24704
-20.599,0.02,0.001047,1,0,0,0,-1,1,0.009216,0.125,0.075,0.24678
-21.172,0.02,0.001047,1,0,0,0,-1,1,0.009472,0.125,0.075,0.24653
-21.744,0.02,0.001047,1,0,0,0,-1,1,0.009728,0.125,0.075,0.24627
-22.316,0.02,0.001047,1,0,0,0,-1,1,0.009984,0.125,0.075,0.24602
-22.888,0.02,0.001047,1,0,0,0,-1,1,0.01024,0.125,0.075,0.24576
-23.193,0.02,0.001047,1,0,0,0,-1,1,0.010496,0.125,0.075,0.2455
-23.497,0.02,0.001047,1,0,0,0,-1,1,0.010752,0.125,0.075,0.24525
-23.802,0.02,0.001047,1,0,0,0,-1,1,0.011008,0.125,0.075,0.24499
-24.106,0.02,0.001047,1,0,0,0,-1,1,0.011264,0.125,0.075,0.24474
-24.41,0.02,0.001047,1,0,0,0,-1,1,0.01152,0.125,0.075,0.24448
-24.715,0.02,0.001047,1,0,0,0,-1,1,0.011776,0.125,0.075,0.24422
-25.019,0.02,0.001047,1,0,0,0,-1,1,0.012032,0.125,0.075,0.24397
-25.324,0.02,0.001047,1,0,0,0,-1,1,0.012288,0.125,0.075,0.24371
-25.628,0.02,0.001047,1,0,0,0,-1,1,0.012544,0.125,0.075,0.24346
-25.932,0.02,0.001047,1,0,0,0,-1,1,0.0128,0.125,0.075,0.2432
