"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.6132,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0,0.125,0.085,0.256
8.6093,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.000256,0.125,0.085,0.25574
9.6053,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.000512,0.125,0.085,0.25549
10.601,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.00076801,0.125,0.085,0.25523
11.597,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.001024,0.125,0.085,0.25498
12.593,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.00128,0.125,0.085,0.25472
13.59,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.001536,0.125,0.085,0.25446
14.586,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.001792,0.125,0.085,0.25421
15.582,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.002048,0.125,0.085,0.25395
16.578,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.002304,0.125,0.085,0.2537
17.574,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.00256,0.125,0.085,0.25344
18.57,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.002816,0.125,0.085,0.25318
19.566,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.003072,0.125,0.085,0.25293
20.562,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.003328,0.125,0.085,0.25267
21.558,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.003584,0.125,0.085,0.25242
22.554,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.00384,0.125,0.085,0.25216
23.55,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.004096,0.125,0.085,0.2519
24.546,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.004352,0.125,0.085,0.25165
25.542,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.004608,0.125,0.085,0.25139
26.538,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.004864,0.125,0.085,0.25114
27.534,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.00512,0.125,0.085,0.25088
28.53,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.005376,0.125,0.085,0.25062
29.526,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.005632,0.125,0.085,0.25037
30.522,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.005888,0.125,0.085,0.25011
31.518,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.006144,0.125,0.085,0.24986
32.514,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.0064,0.125,0.085,0.2496
33.51,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.006656,0.125,0.085,0.24934
34.506,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.006912,0.125,0.085,0.24909
35.502,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.007168,0.125,0.085,0.24883
36.499,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.007424,0.125,0.085,0.24858
37.495,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.00768,0.125,0.085,0.24832
38.491,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.007936,0.125,0.085,0.24806
39.487,0.7856,0.00079225,0.24663,0.75337,0.96763,0,-0.0031322,1,0.008192,0.125,0.085,0.24781
