"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
65.964,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0,0.125,0.095,0.256
66.088,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.000256,0.125,0.095,0.25574
66.211,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.000512,0.125,0.095,0.25549
66.335,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.00076801,0.125,0.095,0.25523
66.458,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.001024,0.125,0.095,0.25498
66.582,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.00128,0.125,0.095,0.25472
66.705,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.001536,0.125,0.095,0.25446
66.828,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.001792,0.125,0.095,0.25421
66.952,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.002048,0.125,0.095,0.25395
67.075,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.002304,0.125,0.095,0.2537
67.199,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.00256,0.125,0.095,0.25344
67.322,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.002816,0.125,0.095,0.25318
67.445,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.003072,0.125,0.095,0.25293
67.569,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.003328,0.125,0.095,0.25267
67.692,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.003584,0.125,0.095,0.25242
67.816,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.00384,0.125,0.095,0.25216
67.939,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.004096,0.125,0.095,0.2519
68.062,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.004352,0.125,0.095,0.25165
68.186,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.004608,0.125,0.095,0.25139
68.309,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.004864,0.125,0.095,0.25114
68.433,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.00512,0.125,0.095,0.25088
68.556,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.005376,0.125,0.095,0.25062
68.68,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.005632,0.125,0.095,0.25037
68.803,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.005888,0.125,0.095,0.25011
68.926,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.006144,0.125,0.095,0.24986
69.05,0.53008,0.00090459,0.3317,1,0.9805,0,0,1,0.0064,0.125,0.095,0.2496
