"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.6547e-06,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0,0.075,0.025,0.256
-0.1579,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.000256,0.075,0.025,0.25574
-0.31579,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.000512,0.075,0.025,0.25549
-0.47368,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00076801,0.075,0.025,0.25523
-0.63158,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001024,0.075,0.025,0.25498
-0.78947,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00128,0.075,0.025,0.25472
-0.94736,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001536,0.075,0.025,0.25446
-1.1053,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001792,0.075,0.025,0.25421
-1.2631,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002048,0.075,0.025,0.25395
-1.421,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002304,0.075,0.025,0.2537
-1.5789,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00256,0.075,0.025,0.25344
-1.7368,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002816,0.075,0.025,0.25318
-1.8947,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003072,0.075,0.025,0.25293
-2.0526,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003328,0.075,0.025,0.25267
-2.2105,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003584,0.075,0.025,0.25242
-2.3684,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00384,0.075,0.025,0.25216
-2.5263,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004096,0.075,0.025,0.2519
-2.6842,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004352,0.075,0.025,0.25165
-2.8421,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004608,0.075,0.025,0.25139
-3,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004864,0.075,0.025,0.25114
-3.1579,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00512,0.075,0.025,0.25088
-3.3157,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005376,0.075,0.025,0.25062
-3.4736,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005632,0.075,0.025,0.25037
-3.6315,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005888,0.075,0.025,0.25011
-3.7894,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006144,0.075,0.025,0.24986
-3.9473,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.0064,0.075,0.025,0.2496
-4.1052,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006656,0.075,0.025,0.24934
-4.2631,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006912,0.075,0.025,0.24909
-4.421,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007168,0.075,0.025,0.24883
-4.5789,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007424,0.075,0.025,0.24858
-4.7368,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00768,0.075,0.025,0.24832
-4.8947,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007936,0.075,0.025,0.24806
-5.0526,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008192,0.075,0.025,0.24781
-5.2105,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008448,0.075,0.025,0.24755
-5.3683,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008704,0.075,0.025,0.2473
-5.5262,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00896,0.075,0.025,0.24704
-5.6841,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009216,0.075,0.025,0.24678
