"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1088.7,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0,0.125,0.075,0.256
1089.4,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.000256,0.125,0.075,0.25574
1090.2,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.000512,0.125,0.075,0.25549
1090.9,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00076801,0.125,0.075,0.25523
1091.6,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001024,0.125,0.075,0.25498
1092.4,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00128,0.125,0.075,0.25472
1093.1,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001536,0.125,0.075,0.25446
1093.9,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001792,0.125,0.075,0.25421
1094.6,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002048,0.125,0.075,0.25395
1095.3,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002304,0.125,0.075,0.2537
1096.1,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00256,0.125,0.075,0.25344
1096.8,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002816,0.125,0.075,0.25318
1097.5,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003072,0.125,0.075,0.25293
1098.3,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003328,0.125,0.075,0.25267
1099,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003584,0.125,0.075,0.25242
1099.7,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00384,0.125,0.075,0.25216
1100.5,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004096,0.125,0.075,0.2519
1101.2,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004352,0.125,0.075,0.25165
1101.9,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004608,0.125,0.075,0.25139
1102.7,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004864,0.125,0.075,0.25114
1103.4,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00512,0.125,0.075,0.25088
1104.1,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005376,0.125,0.075,0.25062
1104.9,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005632,0.125,0.075,0.25037
1105.6,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005888,0.125,0.075,0.25011
1106.3,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006144,0.125,0.075,0.24986
1107.1,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.0064,0.125,0.075,0.2496
1107.8,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006656,0.125,0.075,0.24934
1108.6,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006912,0.125,0.075,0.24909
1109.3,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007168,0.125,0.075,0.24883
1110,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007424,0.125,0.075,0.24858
1110.8,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00768,0.125,0.075,0.24832
1111.5,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007936,0.125,0.075,0.24806
1112.2,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008192,0.125,0.075,0.24781
1113,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008448,0.125,0.075,0.24755
1113.7,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008704,0.125,0.075,0.2473
1114.4,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00896,0.125,0.075,0.24704
1115.2,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009216,0.125,0.075,0.24678
1115.9,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009472,0.125,0.075,0.24653
1116.6,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009728,0.125,0.075,0.24627
1117.4,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009984,0.125,0.075,0.24602
1118.1,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01024,0.125,0.075,0.24576
