"Temperature","Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.1191e-06,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0,0.125,0.075,0.256
-0.13232,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.000256,0.125,0.075,0.25574
-0.26464,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.000512,0.125,0.075,0.25549
-0.39696,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00076801,0.125,0.075,0.25523
-0.52927,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001024,0.125,0.075,0.25498
-0.66159,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00128,0.125,0.075,0.25472
-0.79391,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001536,0.125,0.075,0.25446
-0.92622,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.001792,0.125,0.075,0.25421
-1.0585,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002048,0.125,0.075,0.25395
-1.1908,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002304,0.125,0.075,0.2537
-1.3232,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00256,0.125,0.075,0.25344
-1.4555,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.002816,0.125,0.075,0.25318
-1.5878,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003072,0.125,0.075,0.25293
-1.7201,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003328,0.125,0.075,0.25267
-1.8524,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.003584,0.125,0.075,0.25242
-1.9847,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00384,0.125,0.075,0.25216
-2.1171,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004096,0.125,0.075,0.2519
-2.2494,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004352,0.125,0.075,0.25165
-2.3817,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004608,0.125,0.075,0.25139
-2.514,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.004864,0.125,0.075,0.25114
-2.6463,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00512,0.125,0.075,0.25088
-2.7787,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005376,0.125,0.075,0.25062
-2.911,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005632,0.125,0.075,0.25037
-3.0433,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.005888,0.125,0.075,0.25011
-3.1756,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006144,0.125,0.075,0.24986
-3.3079,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.0064,0.125,0.075,0.2496
-3.4402,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006656,0.125,0.075,0.24934
-3.5725,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.006912,0.125,0.075,0.24909
-3.7049,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007168,0.125,0.075,0.24883
-3.8372,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007424,0.125,0.075,0.24858
-3.9695,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00768,0.125,0.075,0.24832
-4.1018,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.007936,0.125,0.075,0.24806
-4.2341,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008192,0.125,0.075,0.24781
-4.3664,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008448,0.125,0.075,0.24755
-4.4988,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.008704,0.125,0.075,0.2473
-4.6311,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.00896,0.125,0.075,0.24704
-4.7634,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009216,0.125,0.075,0.24678
-4.8957,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009472,0.125,0.075,0.24653
-5.028,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009728,0.125,0.075,0.24627
-5.1603,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.009984,0.125,0.075,0.24602
-5.2927,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01024,0.125,0.075,0.24576
-5.0907,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.010496,0.125,0.075,0.2455
-4.8888,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.010752,0.125,0.075,0.24525
-4.6869,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.011008,0.125,0.075,0.24499
-4.4849,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.011264,0.125,0.075,0.24474
-4.283,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01152,0.125,0.075,0.24448
-4.081,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.011776,0.125,0.075,0.24422
-3.8791,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.012032,0.125,0.075,0.24397
-3.6771,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.012288,0.125,0.075,0.24371
-3.4752,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.012544,0.125,0.075,0.24346
-3.2733,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.0128,0.125,0.075,0.2432
-3.0713,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.013056,0.125,0.075,0.24294
-2.8694,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.013312,0.125,0.075,0.24269
-2.6674,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.013568,0.125,0.075,0.24243
-2.4655,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.013824,0.125,0.075,0.24218
-2.2636,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01408,0.125,0.075,0.24192
-2.0616,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.014336,0.125,0.075,0.24166
-1.8597,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.014592,0.125,0.075,0.24141
-1.6577,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.014848,0.125,0.075,0.24115
-1.4558,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.015104,0.125,0.075,0.2409
-1.2539,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01536,0.125,0.075,0.24064
-1.0519,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.015616,0.125,0.075,0.24038
-0.84996,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.015872,0.125,0.075,0.24013
-0.64802,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.016128,0.125,0.075,0.23987
-0.44608,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.016384,0.125,0.075,0.23962
-0.24413,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01664,0.125,0.075,0.23936
-0.042203,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.016896,0.125,0.075,0.2391
0.15974,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.017152,0.125,0.075,0.23885
0.36168,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.017408,0.125,0.075,0.23859
0.56363,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.017664,0.125,0.075,0.23834
0.76557,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.01792,0.125,0.075,0.23808
0.96751,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.018176,0.125,0.075,0.23782
1.1695,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.018432,0.125,0.075,0.23757
1.3714,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.018688,0.125,0.075,0.23731
1.5733,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.018944,0.125,0.075,0.23706
1.7753,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.0192,0.125,0.075,0.2368
1.9772,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.019456,0.125,0.075,0.23654
2.1792,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.019712,0.125,0.075,0.23629
2.3811,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.019968,0.125,0.075,0.23603
2.583,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.020224,0.125,0.075,0.23578
2.785,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02048,0.125,0.075,0.23552
3.083,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.020736,0.125,0.075,0.23526
3.3809,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.020992,0.125,0.075,0.23501
3.6789,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.021248,0.125,0.075,0.23475
3.9769,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.021504,0.125,0.075,0.2345
4.2749,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02176,0.125,0.075,0.23424
4.5729,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.022016,0.125,0.075,0.23398
4.8709,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.022272,0.125,0.075,0.23373
5.1688,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.022528,0.125,0.075,0.23347
5.4668,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.022784,0.125,0.075,0.23322
5.7648,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02304,0.125,0.075,0.23296
6.0628,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.023296,0.125,0.075,0.2327
6.3608,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.023552,0.125,0.075,0.23245
6.6587,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.023808,0.125,0.075,0.23219
6.9567,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.024064,0.125,0.075,0.23194
7.2547,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02432,0.125,0.075,0.23168
7.5527,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.024576,0.125,0.075,0.23142
7.8507,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.024832,0.125,0.075,0.23117
8.1487,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.025088,0.125,0.075,0.23091
8.4466,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.025344,0.125,0.075,0.23066
8.7446,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.0256,0.125,0.075,0.2304
9.0426,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.025856,0.125,0.075,0.23014
9.3406,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.026112,0.125,0.075,0.22989
9.6386,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.026368,0.125,0.075,0.22963
9.9365,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.026624,0.125,0.075,0.22938
10.235,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02688,0.125,0.075,0.22912
10.533,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.027136,0.125,0.075,0.22886
10.83,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.027392,0.125,0.075,0.22861
11.128,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.027648,0.125,0.075,0.22835
11.426,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.027904,0.125,0.075,0.2281
11.724,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02816,0.125,0.075,0.22784
12.022,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.028416,0.125,0.075,0.22758
12.32,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.028672,0.125,0.075,0.22733
12.618,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.028928,0.125,0.075,0.22707
12.916,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.029184,0.125,0.075,0.22682
13.214,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.02944,0.125,0.075,0.22656
13.512,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.029696,0.125,0.075,0.2263
13.81,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.029952,0.125,0.075,0.22605
14.108,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.030208,0.125,0.075,0.22579
14.406,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.030464,0.125,0.075,0.22554
14.704,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.03072,0.125,0.075,0.22528
15.014,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.030976,0.125,0.075,0.22502
15.323,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.031232,0.125,0.075,0.22477
15.633,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.031488,0.125,0.075,0.22451
15.942,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.031744,0.125,0.075,0.22426
16.252,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.032,0.125,0.075,0.224
16.561,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.032256,0.125,0.075,0.22374
16.871,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.032512,0.125,0.075,0.22349
17.18,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.032768,0.125,0.075,0.22323
17.49,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.033024,0.125,0.075,0.22298
17.799,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.03328,0.125,0.075,0.22272
18.109,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.033536,0.125,0.075,0.22246
18.418,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.033792,0.125,0.075,0.22221
18.728,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.034048,0.125,0.075,0.22195
19.037,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.034304,0.125,0.075,0.2217
19.346,0.02,0.001047,1,0,0.091818,0,-0.90818,1,0.03456,0.125,0.075,0.22144
