"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,1,1,0,0,0.05,0.125
3.7651e-05,1,1,1,0.00025,0.00025,0.05,0.125
7.5302e-05,1,1,1,0.0005,0.0005,0.05,0.125
0.00011295,1,1,1,0.00075,0.00075,0.05,0.125
0.0001506,1,1,1,0.001,0.001,0.05,0.125
0.00018826,1,1,1,0.00125,0.00125,0.05,0.125
0.00022591,1,1,1,0.0015,0.0015,0.05,0.125
0.00026356,1,1,1,0.00175,0.00175,0.05,0.125
0.00030121,1,1,1,0.002,0.002,0.05,0.125
0.00033886,1,1,1,0.00225,0.00225,0.05,0.125
0.00037651,1,1,1,0.0025,0.0025,0.05,0.125
0.00041416,1,1,1,0.00275,0.00275,0.05,0.125
0.00045181,1,1,1,0.003,0.003,0.05,0.125
0.00048947,1,1,1,0.00325,0.00325,0.05,0.125
0.00052712,1,1,1,0.0035,0.0035,0.05,0.125
0.00056477,1,1,1,0.00375,0.00375,0.05,0.125
0.00060242,1,1,1,0.004,0.004,0.05,0.125
0.00064007,1,1,1,0.00425,0.00425,0.05,0.125
0.00067772,1,1,1,0.0045,0.0045,0.05,0.125
0.00071537,1,1,1,0.00475,0.00475,0.05,0.125
0.00075302,1,1,1,0.005,0.005,0.05,0.125
0.00079458,1,1,1,0.00525,0.00525,0.05,0.125
0.00083613,1,1,1,0.0055,0.0055,0.05,0.125
0.00087769,1,1,1,0.00575,0.00575,0.05,0.125
0.00091924,1,1,1,0.006,0.006,0.05,0.125
0.0009608,1,1,1,0.00625,0.00625,0.05,0.125
0.0010024,1,1,1,0.0065,0.0065,0.05,0.125
0.0010439,1,1,1,0.00675,0.00675,0.05,0.125
0.0010855,1,1,1,0.007,0.007,0.05,0.125
0.001127,1,1,1,0.00725,0.00725,0.05,0.125
0.0011686,1,1,1,0.0075,0.0075,0.05,0.125
0.0012101,1,1,1,0.00775,0.00775,0.05,0.125
0.0012517,1,1,1,0.008,0.008,0.05,0.125
0.0012932,1,1,1,0.00825,0.00825,0.05,0.125
0.0013348,1,1,1,0.0085,0.0085,0.05,0.125
0.0013763,1,1,1,0.00875,0.00875,0.05,0.125
0.0014179,1,1,1,0.009,0.009,0.05,0.125
0.0014595,1,1,1,0.00925,0.00925,0.05,0.125
0.001501,1,1,1,0.0095,0.0095,0.05,0.125
0.0015426,1,1,1,0.00975,0.00975,0.05,0.125
